year,program,raw_programs,source_files,rows,usable_named_rows,unique_names,exact_duplicate_rows,duplicate_name_rows,empty_name_rows,missing_numero_acto_rows,identity_split_no_aplica_rows,year_mismatch_fecha_otorgamiento_rows,year_mismatch_fecha_acto_rows,male_first_name_flags,is_direct_fund,known_amount,amount_max_clp,amount_max_label,funding_type
2023,Emergencia,Emergencia,TransparenciaActiva (8).csv,2138,2137,2107,17,30,1,0,2138,521,521,931,True,False,,Sin monto parametrizado,subsidio/emergencia con monto no parametrizado
2023,Crece,Crece Fondo de Desarrollo de Negocios.,TransparenciaActiva (3).csv,1548,1548,1548,0,0,0,0,1548,0,0,134,True,True,5000000,$5.000.000,subsidio directo
2023,Capital Abeja Emprende,Capital Abeja Emprende,TransparenciaActiva (7).csv,1177,1177,1177,0,0,0,0,1,0,0,0,True,True,3500000,$3.500.000,subsidio directo
2023,Capital Semilla Emprende,Capital Semilla Emprende,TransparenciaActiva (6).csv,1019,1019,1019,0,0,0,0,1019,0,0,312,True,True,3500000,$3.500.000,subsidio directo
2023,Ruta Digital Kit Digital,Ruta Digital,TransparenciaActiva (4).csv,467,467,467,0,0,0,0,467,0,0,19,True,True,1200000,$1.200.000,subsidio directo
2023,Digitaliza tu Almacén,Digitaliza tu Almacén,TransparenciaActiva (1).csv,455,455,455,0,0,0,0,455,0,0,77,True,True,3000000,$3.000.000,subsidio directo
2023,Mejora Negocios,Mejora Negocios,TransparenciaActiva (10).csv,361,361,326,32,35,0,0,361,121,121,22,True,True,1500000,$1.500.000,subsidio/cofinanciamiento de asesoría
2023,Programa Desarrollo de Ferias Libres,Programa Desarrollo de Ferias Libres,TransparenciaActiva (16).csv,148,148,148,0,0,0,0,0,1,0,0,True,False,,Sin monto parametrizado,fondo directo con monto variable/no parametrizado
2023,Fortalecimiento Gremial,FORTALECIMIENTO GREMIAL Y COOPERATIVO | Fortalecimiento Gremial | Fortalecimiento Gremial 2023 | Fortalecimiento Gremial SERCOTEC 2023 | Fortalecimiento Gremial Ñuble 2023 | Fortalecimiento gremial 2023 | Fortalecimiento gremial 2024,TransparenciaActiva (15).csv,90,90,90,0,0,0,0,0,0,0,0,True,False,,Sin monto parametrizado,fondo gremial con monto variable/no parametrizado
2023,Fortalecimiento y Creación de Cooperativas,Fortalecimiento y Creación de Empresas Sociales y Cooperativas,TransparenciaActiva (17).csv,81,81,44,18,37,0,0,0,5,0,0,True,False,,Sin monto parametrizado,fondo cooperativo con monto variable/no parametrizado
2023,Servicios Virtuales,Servicios Virtuales,TransparenciaActiva (9).csv,29293,29293,29255,10,38,0,0,29293,0,0,6011,False,False,,Sin monto parametrizado,servicio virtual sin monto directo
2023,Centros de Desarrollo de Negocios,Centros de Desarrollo de Negocios,TransparenciaActiva (13).csv | TransparenciaActiva (14).csv,14334,0,0,71,0,14334,112,0,0,0,0,False,False,,Sin monto parametrizado,operación/servicio de centros sin beneficiario monetario directo
2023,Promoción y Canales de Comercialización,Promoción y canales de comercialización,TransparenciaActiva (5).csv,882,882,806,11,76,0,0,882,138,138,54,False,False,,Sin monto parametrizado,cofinanciamiento/servicio sin monto individual directo
2023,Redes de Oportunidades de Negocios,Redes de Oportunidades de Negocio,TransparenciaActiva (12).csv,123,123,123,0,0,0,0,123,40,40,16,False,False,,Sin monto parametrizado,servicio/redes sin monto directo
2023,Formación Empresarial,Formación Empresarial,TransparenciaActiva (11).csv,25,25,25,0,0,0,0,25,0,0,3,False,False,,Sin monto parametrizado,capacitación sin monto individual directo
